Ref,Val,Package,PosX,PosY,Rot,Side
"D33,""LED"",""D_1206_3216Metric"",171.558500,-140.404000,-45.000000,top"
"D34,""LED"",""D_1206_3216Metric"",169.608500,-135.654000,-90.000000,top"
"D35,""LED"",""D_1206_3216Metric"",183.058500,-131.091500,90.000000,top"
"D36,""LED"",""D_1206_3216Metric"",183.058500,-135.704000,90.000000,top"
"D37,""LED"",""D_1206_3216Metric"",181.058500,-140.454000,45.000000,top"
"D38,""LED"",""D_1206_3216Metric"",183.058500,-117.341500,90.000000,top"
"D39,""LED"",""D_1206_3216Metric"",183.058500,-121.904000,90.000000,top"
"D40,""LED"",""D_1206_3216Metric"",183.058500,-126.491500,90.000000,top"
"D41,""LED"",""D_1206_3216Metric"",202.908500,-142.591500,30.000000,top"
"D42,""LED"",""D_1206_3216Metric"",198.108500,-143.991500,0.000000,top"
"D43,""LED"",""D_1206_3216Metric"",193.508500,-143.991500,0.000000,top"
"DC1,""Conn_01x02_Socket"",""JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical"",173.458500,-153.541500,0.000000,top"
"DC2,""Conn_01x02_Socket"",""JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical"",180.358500,-153.541500,0.000000,top"
"DC3,""Conn_01x02_Socket"",""JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical"",187.258500,-153.541500,0.000000,top"
"DC4,""Conn_01x02_Socket"",""JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical"",194.158500,-153.541500,0.000000,top"
"DC5,""Conn_01x02_Socket"",""JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical"",201.058500,-153.541500,0.000000,top"
"DC6,""Conn_01x02_Socket"",""JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical"",207.958500,-153.541500,0.000000,top"
"DSW1,""SW_DIP_x08"",""SW_DIP_SPSTx08_Slide_Copal_CHS-08A_W5.08mm_P1.27mm_JPin"",84.748500,-114.246500,0.000000,top"
"J1,""XT60-M"",""AMASS_XT60-M_1x02_P7.20mm_Vertical"",99.908500,-92.541500,-90.000000,top"
"J14,""Conn_01x60_MountingPin"",""Amphenol_F32Q-1A7x1-11060_1x60-1MP_P0.5mm_Horizontal"",211.158500,-122.541500,90.000000,top"
"J16,""Conn_01x12"",""PinSocket_1x12_P2.54mm_Vertical"",173.458500,-109.541500,90.000000,top"
"J25,""Conn_01x03_Pin"",""JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical"",210.208500,-99.941500,90.000000,top"
"J26,""Conn_02x03_Counter_Clockwise"",""PinHeader_2x03_P2.54mm_Vertical"",102.533500,-115.751500,0.000000,top"
"J31,""Conn_01x02_Pin"",""JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical"",98.158500,-116.441500,-90.000000,top"
"J32,""Conn_01x02_Pin"",""JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical"",98.158500,-123.341500,-90.000000,top"
"L1,""HCM0703-3R3-R"",""L_KOHERelec_MDA7030"",172.018500,-116.151500,0.000000,top"
"L4,""HCM0703-3R3-R"",""L_KOHERelec_MDA7030"",172.179750,-103.251500,0.000000,top"
"M4,""Stepper_Motor_unipolar_6pin"",""JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical"",98.708500,-153.566500,0.000000,top"
