"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
57;"R48,R45,R46,R47,R44,R43,R40,R42,R41,R39,R38,R37,R35,R34,R33,R36";"R_1206_3216Metric";16;"0.025Ω";;;
58;"Q25,Q22,Q20,Q23,Q21,Q24,Q18,Q17,Q16,Q15,Q14,Q13,Q11,Q12,Q8,Q7,Q6,Q5,Q4,Q9,Q10";"SOT-23";21;"IRLML2502";;;
59;"M7,M6,M4,M5";"JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical";4;"Stepper_Motor_unipolar_6pin";;;
60;"Q3,Q2";"SOT-23";2;"SS8050-G";;;
61;"I2C_2,I2C_1,I2C_0x70_1,I2C_0x70_3,I2C_0x70_5,I2C_0x70_2,I2C_0x70_4,I2C_0x71_3,I2C_0x70_7,I2C_0x71_4,I2C_0x70_8,I2C_0x71_2,I2C_0x71_5,I2C_0x71_1,I2C_0x71_7,I2C_0x71_8,I2C_0x70_6,JI2C_0x71_6";"JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical";18;"Conn_01x04_Pin";;;
62;"J7";"MOLEX_USB_67298-4090";1;"690-008-221-904";;;
63;"J1";"AMASS_XT60-M_1x02_P7.20mm_Vertical";1;"XT60-M";;;
64;"DC6,DC3,DC4,DC5,DC2,DC1";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";6;"Conn_01x02_Socket";;;
65;"FB2,FB1";"R_2512_6332Metric";2;"FerriteBead";;;
66;"SERVO2,SERVO1,SERVO3,SERVO4";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";4;"Conn_01x03_Socket";;;
67;"R81,R83,R80,R76";"R_0805_2012Metric";4;"320";;;
68;"U45,U46";"TSSOP-24_4.4x7.8mm_P0.65mm";2;"TCA9548APWR";;;
69;"U30,U28,U21,U27,U26,U25,U20,U15,U18,U17,U23,U19,U29,U22,U24,U16";"VSSOP-10_3x3mm_P0.5mm";16;"INA226";;;
70;"U7";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"ASEK-32.768KHZ-L-R-T";;;
71;"TP1,TP2,TP3,TP7,TP8,TP12,TP10,TP15,TP11,TP9,TP13,TP16,TP14,TP4";"TestPoint_Pad_D2.0mm";14;"TestPoint";;;
72;"D7,D9,D8,D10,D4,D6,D5";"D_1206_3216Metric";7;"LED";;;
73;"BT1";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Battery_Cell";;;
74;"U63";"TSSOP-38_4.4x9.7mm_P0.5mm";1;"ADS8688";;;
75;"TP5,TP6";"TestPoint_Pad_D4.0mm";2;"TestPoint";;;
76;"ESP1";"ESP32-S3-WROOM-2";1;"ESP32-S3-WROOM-2";;;
77;"R14";"R_0805_2012Metric";1;"100K 1%";;;
78;"C50,C52,C51,C71,C70";"C_0805_2012Metric";5;"1.2nF";;;
79;"C54,C53,C49,C48,C47,C55,C73,C69,C68,C72";"C_0805_2012Metric";10;"nf";;;
80;"C16";"CP_Elec_8x10";1;"470uF";;;
81;"C12,C14";"C_0805_2012Metric";2;"27pF";;;
82;"Y1";"Crystal_SMD_HC49-SD";1;"24MHz";;;
83;"R63,R54,R53,R52,R22,R64";"R_0805_2012Metric";6;"12K 1%";;;
84;"R62,R61,R50,R51,R49";"R_0805_2012Metric";5;"10R";;;
85;"R57,R59,R55,R65,R67";"R_0805_2012Metric";5;"47K 1%";;;
86;"R31,R30,R32,R29,R24,R23";"R_0805_2012Metric";6;"5.1K 1%";;;
87;"R21,R19,R25,R20";"R_0805_2012Metric";4;"36K 1%";;;
88;"L5,L4,L2,L3,L1";"L_Bourns_SRN6045TA";5;"SRN6045TA-3R3Y";;;
89;"U13,U8";"MSOP-10_3x3mm_P0.5mm";2;"FSUSB42MUX";;;
90;"U9,U6";"SOT-23-6";2;"AP22653W6";;;
91;"C96,C98,C99";"C_0805_2012Metric";3;"470uf";;;
92;"U65";"MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias";1;"TPA6203A1DGN";;;
93;"U37";"QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias";1;"CH343P";;;
94;"U35,U34,U33,U32,U31";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias";5;"AP64501SP-13";;;
95;"U11";"QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm";1;"USB2514B-I/M2";;;
96;"SW1";"SW_Tactile_SPST_Angled_PTS645Vx58-2LFS";1;"Right angle Tact button";;;
97;"Q26,Q1";"PQFN_8x8";2;"IRLHM630PbF";;;
98;"Module1";"Raspberry-Pi-5-Compute-Module";1;"ComputeModule5-CM5";;;
99;"J10,J9,J8";"USB_C_Receptacle_Palconn_UTC16-G";3;"USB_C_Receptacle_USB2.0_16P";;;
100;"J6";"M.2 M Key socket";1;"Bus_M.2_Socket_M";;;
101;"J5";"TRJG0926HENL";1;"MagJack-A70-112-331N126";;;
102;"U36";"TSOT-23";1;"RT9742SNGV";;;
