"Reference","Value","Datasheet","Footprint","Qty","DNP","#","Field4","Field5","Field6","Field7","Field8","Part Description","Description","Check_prices","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Description_1","Price","SNAPEDA_PN","STANDARD","Sim.Device","Sim.Pins","Sim.Type","SnapEDA_Link","Url","Availability"
"U8,U13","FSUSB42MUX","https://www.onsemi.com/pub/Collateral/FSUSB42-D.PDF","Package_SO:MSOP-10_3x3mm_P0.5mm","2","","107","Farnell","2564479","FSUSB42MUX","Onsemi","","USB Switch IC 1 Channel 10-MSOP","","","","","","","","","","","","","","","","","",""
"U9","AP22653W6","https://www.diodes.com/assets/Datasheets/AP255x.pdf","Package_TO_SOT_SMD:SOT-23-6","1","","108","Digikey","AP2553W6-7DICT-ND","AP22653W6","Diodes","","Power Switch/Driver 1:1 P-Channel 2.1A SOT-23-6","","","","","","","","","","","","","","","","","",""
"U11","USB2514B-I/M2","http://ww1.microchip.com/downloads/en/DeviceDoc/00001692C.pdf","Package_DFN_QFN:QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm","1","","109","Farnell","2775060","USB2514B-I/M2","Microchip","UICC00931","USB Hub Controller USB Interface 36-SQFN (6x6)","USB 2.0 Hi-Speed Hub Controller","","","","","","","","","","","","","","","","",""
"U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30","INA226","http://www.ti.com/lit/ds/symlink/ina226.pdf","Package_SO:VSSOP-10_3x3mm_P0.5mm","16","","110","","","","","","","High-Side or Low-Side Measurement, Bi-Directional Current and Power Monitor (0-36V) with I2C Compatible Interface, VSSOP-10","","","","","","","","","","","","","","","","",""
"U31,U33,U34","AP64501SP-13","https://www.diodes.com/assets/Datasheets/AP64501.pdf","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias","3","","111","Digikey","31-AP64501SP-13CT-ND","AP64501SP-13","Diodes","","Buck Switching Regulator IC Positive Adjustable 0.8V 1 Output 5A 8-SOIC (0.154"", 3.90mm Width) Exposed Pad","","","","","","","","","","","","","","","","","",""
"U32,U35,U40,U41,U42,U43,U44","AP22815AWU","https://www.diodes.com/datasheet/download/AP22815_615.pdf","Package_TO_SOT_SMD:SOT-23-6","7","","112","","","","","","","Current limited power switch, single channel, 3.0V to 5.5V, 3A, SOT-23-6","","","","","","","","","","","","","","","","",""
"U37","CH343P","","Package_DFN_QFN:QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias","1","","113","","","","","","","","","","","","","","","","","","","","","","","",""
"U38","IP2721","https://datasheet.lcsc.com/lcsc/2006111335_INJOINIC-IP2721_C603176.pdf","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","1","","114","","","","","","","USB TYPEC  PD Controller Interface, TSSOP-16","","","","","","","","","","","","","","","","",""
"U45,U46","TCA9548APWR","http://www.ti.com/lit/ds/symlink/tca9548a.pdf","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","2","","115","","","","","","","Low voltage 8-channel I2C switch with reset, TSSOP-24","","","","","","","","","","","","","","","","",""
"U47","MCP3208","http://ww1.microchip.com/downloads/en/DeviceDoc/21298c.pdf","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","1","","116","","","","","","","A/D Converter, 12-Bit, 8-Channel, SPI Interface , 2.7V-5.5V","","","","","","","","","","","","","","","","",""
"U52","TB6612FNG","https://toshiba.semicon-storage.com/us/product/linear/motordriver/detail.TB6612FNG.html","Package_SO:SSOP-24_5.3x8.2mm_P0.65mm","1","","117","","","","","","","Driver IC for Dual DC motor, SSOP-24","","","","","","","","","","","","","","","","",""
"U53,U54","MCP23S17_SO","http://ww1.microchip.com/downloads/en/DeviceDoc/20001952C.pdf","Package_SO:SSOP-28_3.9x9.9mm_P0.635mm","2","","118","","","","","","","16-bit I/O expander, SPI, interrupts, w pull-ups, SOIC-28","","","","","","","","","","","","","","","","",""
"U55","ICM-45686","","CM5IO:IC_ICM-45686","1","","119","","","","","","","","","TDK InvenSense","0.86mm","","","0.2","","","","","Manufacturer Recommendations","","","","","",""
"U56","BME280","https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bme280-ds002.pdf","Package_LGA:Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering","1","","120","","","","","","","3-in-1 sensor, humidity, pressure, temperature, I2C and SPI interface, 1.71-3.6V, LGA-8","","","","","","","","","","","","","","","","",""
"U57","BNO080","","Package_LGA:LGA-28_5.2x3.8mm_P0.5mm","1","","121","","","","","","","","","","","","","","","","","","","","","","","",""
"U58","MCP1541-TT","http://ww1.microchip.com/downloads/en/devicedoc/21653b.pdf","Package_TO_SOT_SMD:SOT-23","1","","122","","","","","","","4.096V Voltage Reference, SOT-23","","","","","","","","","","","","","","","","",""
"U65","TPA6203A1DGN","https://www.ti.com/lit/ds/symlink/tpa6203a1.pdf","Package_SO:MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm_ThermalVias","1","","123","","","","","","","1.25W, Mono, Differential Audio Amplifier, MSOP-8","","","","","","","","","","","","","","","","",""
"U67","PCA9685PW","http://www.nxp.com/docs/en/data-sheet/PCA9685.pdf","Package_SO:TSSOP-28_4.4x9.7mm_P0.65mm","1","","124","","","","","","","16-channel 12-bit PWM Fm+ I2C-bus LED controller RGBA TSSOP","","","","","","","","","","","","","","","","",""
"Y1","24MHz","~","Crystal:Crystal_SMD_HC49-SD","1","","125","Farnell","2508493","X24M000000S128","AEL","","24MHz Crystal 18pf 30ppm 30ppm","Two pin crystal","","","","","","","","","","","","","","","","",""
"Y3","5MHz","~","Crystal:Crystal_SMD_HC49-SD","1","","126","","","","","","","Two pin crystal","","","","","","","","","","","","","","","","",""
"Y4","32.768MHz","~","Crystal:Crystal_SMD_HC49-SD","1","","127","Farnell","2508493","X24M000000S128","AEL","","24MHz Crystal 18pf 30ppm 30ppm","Two pin crystal","","","","","","","","","","","","","","","","",""
"U48,U49,U50,U51","TMC2240_SILENTSTEPSTICK","","CM5IO:TMC2209","4","","128","","","","","","","","https://www.snapeda.com/parts/TMC2209%20SILENTSTEPSTICK/Trinamic/view-part/?ref=eda","Trinamic Motion Control GmbH","","Trinamic Motion Control GmbH","TMC2209 SILENTSTEPSTICK","1.20","None","                                                    TMC2209 Motor Controller/Driver Power Management Evaluation Board                        ","None","TMC2209 SILENTSTEPSTICK","Manufacturer Recommendations","","","","https://www.snapeda.com/parts/TMC2209%20SILENTSTEPSTICK/Trinamic/view-part/?ref=snap","","In Stock"
"U64","PCM2704CDBR","","CM5IO:SSOP28","1","","129","","","","","","","","https://www.snapeda.com/parts/PCM2704C/Texas+Instruments/view-part/?ref=eda","","","Texas Instruments","PCM2704C","","None","Stereo Audio DAC with USB Interface, Single-Ended Headphone Output and S/PDIF Output","None","","","","","","https://www.snapeda.com/parts/PCM2704C/Texas+Instruments/view-part/?ref=snap","","In Stock"
"J1","XT60-M","","Connector_AMASS:AMASS_XT60-M_1x02_P7.20mm_Vertical","1","","130","","","","","","","","https://www.snapeda.com/parts/XT60-M/AMASS/view-part/?ref=eda","AMASS","16.00 mm","AMASS","XT60-M","V1.2","Package","Plug; DC supply; XT60; male; PIN: 2; for cable; soldered; 30A; 500V","None","","IPC 7351B","","","","https://www.snapeda.com/parts/XT60-M/AMASS/view-part/?ref=snap","","Not in stock"
"U36,U39","LTC3119EFE_PBF","","CM5IO:SOP65P640X120-29N","2","","131","","","","","","","","https://www.snapeda.com/parts/LTC3119EFE%23PBF/Analog+Devices/view-part/?ref=eda","Analog Devices","1.2mm","Analog Devices","LTC3119EFE#PBF","B","TSSOP-28 Linear Technology","Buck-Boost Switching Regulator IC Positive Adjustable 0.8V 1 Output 5A 28-TSSOP (0.173, 4.40mm Width) Exposed Pad","None","","IPC-7351B","","","","https://www.snapeda.com/parts/LTC3119EFE%23PBF/Analog+Devices/view-part/?ref=snap","","In Stock"
"U59,U60,U61,U62,U66","TS5A23157DGSR","","CM5IO:SOP50P490X110-10N","5","","132","","","","","","","","https://www.snapeda.com/parts/TS5A23157DGSR/Texas+Instruments/view-part/?ref=eda","Texas Instruments","1.1 mm","Texas Instruments","TS5A23157DGSR","F","VSSOP-10 Texas Instruments","5-V, 2:1 (SPDT), 2-channel analog switch","None","","IPC-7351B","","","","https://www.snapeda.com/parts/TS5A23157DGSR/Texas+Instruments/view-part/?ref=snap","","In Stock"
