"Reference","Value","Datasheet","Footprint","Qty","DNP","#","Field4","Field5","Field6","Field7","Field8","Part Description","Description","Check_prices","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Description_1","Price","SNAPEDA_PN","STANDARD","Sim.Device","Sim.Pins","Sim.Type","SnapEDA_Link","Url","Availability"
"CT1,CT2,CT3","100uf","~","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","3","","25","","","","","","","Polarized capacitor, small symbol","","","","","","","","","","","","","","","","",""
"CT4,CT5,CT6,CT7,CT8,CT9","10uf","~","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","6","","26","","","","","","","Polarized capacitor, small symbol","","","","","","","","","","","","","","","","",""
"D1,D3","LED Green","http://optoelectronics.liteon.com/upload/download/DS22-2000-226/LTST-S270KGKT.pdf","Diode_SMD:D_1206_3216Metric","2","","27","Digikey ","LTST-S270KGKT","SML-A12M8TT86N","Rohm","650263301","Green 572nm LED Indication - Discrete 2.2V 2-SMD, No Lead","","","","","","","","","","","","","","","","","",""
"D2","LED Red","http://optoelectronics.liteon.com/upload/download/DS22-2000-210/LTST-S270KRKT.pdf","Diode_SMD:D_1206_3216Metric","1","","28","Digikey ","LTST-S270KRKT","SML-A12U8TT86Q","Rohm","650295101","Red 620nm LED Indication - Discrete 2.2V 2-SMD, No Lead","","","","","","","","","","","","","","","","","",""
"D4,D5,D6,D8,D9,D10,D11","LED","~","Diode_SMD:D_1206_3216Metric","7","","29","","","","","","","Light emitting diode","","","","","","","","","","","","","","","","",""
"D7,D12,D13,D14,D15,D16","LED","~","Diode_SMD:D_1206_3216Metric","6","","30","","","","","","","Light emitting diode","","","","","","","","","","","","","1=K 2=A","","","",""
"DC1,DC2,DC3,DC4,DC5,DC6","Conn_01x02_Socket","~","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","6","","31","","","","","","","Generic connector, single row, 01x02, script generated","","","","","","","","","","","","","","","","",""
"DSI1,DSI2","Conn_01x22_Female","https://www.hirose.com/product/document?clcode=&productname=&series=FH12&documenttype=Catalog&lang=en&documentid=D31648_en","CM5IO:Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal","2","","32","Mouser","798-FH12-22S-0.5SH55","FH12-22S-0.5SH55","Hirose","","22 Position FFC, FPC Connector Contacts, Bottom 0.020"" (0.50mm) Surface Mount, Right Angle","","","","","","","","","","","","","","","","","",""
"DSW1,DSW2","SW_DIP_x08","~","Button_Switch_SMD:SW_DIP_SPSTx08_Slide_Copal_CHS-08A_W5.08mm_P1.27mm_JPin","2","","33","","","","","","","8x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol","","","","","","","","","","","","","","","","",""
"ESP1","ESP32-S3-WROOM-2","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-2_datasheet_en.pdf","RF_Module:ESP32-S3-WROOM-2","1","","34","","","","","","","RF Module, 2.4 GHz, Wi­-Fi, Bluetooth, BLE, ESP32­-S3R8V","","","","","","","","","","","","","","","","",""
"GPIO1","THD-20-R","https://www.toby.co.uk/uploads/publications/1673.pdf","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","1","","35","Toby","THD-20-R","THD-20-R","Toby","UCON00511","PinHeader_2x20_P2.54mm_Vertical","","","","","","","","","","","","","","","","","",""
"HS1,HS2","Heatsink","~","TestPoint:TestPoint_Pad_1.0x1.0mm","2","","36","","","","","","","Heatsink","","","","","","","","","","","","","","","","",""
